season,zone,LST_C
Winter,Rural,29.671000000000028
Winter,Rural,30.70500000000003
Winter,Rural,31.146000000000026
Winter,Rural,31.216000000000026
Winter,Rural,30.638000000000027
Winter,Rural,29.935500000000037
Winter,Rural,29.76550000000003
Winter,Rural,30.03450000000003
Winter,Rural,30.00800000000003
Winter,Rural,30.772500000000026
Winter,Rural,30.830500000000047
Winter,Rural,30.77550000000003
Winter,Rural,30.66150000000003
Winter,Rural,30.48150000000003
Winter,Rural,30.11800000000003
Winter,Rural,29.612500000000022
Winter,Rural,28.746000000000027
Winter,Rural,29.545500000000015
Winter,Rural,30.310500000000026
Winter,Rural,30.651500000000034
Winter,Rural,30.714000000000027
Winter,Rural,31.008000000000028
Winter,Rural,31.035500000000035
Winter,Rural,30.819500000000026
Winter,Rural,30.410000000000032
Winter,Rural,28.833500000000026
Winter,Rural,29.605500000000024
Winter,Rural,30.04150000000002
Winter,Rural,30.137500000000035
Winter,Rural,30.049000000000024
Winter,Rural,29.94100000000003
Winter,Rural,30.024500000000028
Winter,Rural,30.590500000000013
Winter,Rural,31.001000000000026
Winter,Rural,28.16650000000003
Winter,Rural,28.795000000000023
Winter,Rural,29.015000000000015
Winter,Rural,29.09300000000003
Winter,Rural,29.19100000000003
Winter,Rural,30.319500000000026
Winter,Rural,31.140500000000024
Winter,Rural,29.77950000000003
Winter,Rural,28.801000000000027
Winter,Rural,30.335000000000026
Winter,Rural,29.839500000000026
Winter,Rural,31.583000000000034
Winter,Rural,29.875000000000046
Winter,Rural,31.544500000000028
Winter,Rural,33.06700000000002
Winter,Rural,29.535500000000035
Winter,Rural,30.190500000000025
Winter,Rural,30.798000000000023
Winter,Rural,33.41550000000002
Winter,Rural,33.12800000000003
